WADMKK,KODE,S_Januari,S_Febuari,S_Maret,S_April,S_Mei,S_Juni,S_Juli,S_Agustus,S_September,S_Oktober,S_November,S_Desember,CL_Januari,CL_Febuari,CL_Maret,CL_April,CL_Mei,CL_Juni,CL_Juli,CL_Agustus,CL_September,CL_Oktober,CL_November,CL_Desember,RL_Januari,RL_Febuari,RL_Maret,RL_April,RL_Mei,RL_Juni,RL_Juli,RL_Agustus,RL_September,RL_Oktober,RL_November,RL_Desember
Bengkayang,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kapuas Hulu,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kayong Utara,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ketapang,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kota Pontianak,105,13,15,10,11,14,33,72,74,67,0,1,1,5,3,1,2,7,24,50,45,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Kota Singkawang,106,1,3,0,3,4,1,5,7,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Kubu Raya,107,3,1,1,1,22,10,12,24,13,2,0,4,3,0,0,0,7,7,11,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Landak,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melawi,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mempawah,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sambas,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sanggau,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sekadau,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sintang,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0