KODE_DESA,Kelurahan,Januari_CL,Januari_RL,Januari_N,Januari_Pending,Januari_suspek,Febuari_CL,Febuari_RL,Febuari_N,Febuari_Pending,Febuari_suspek,Maret_CL,Maret_RL,Maret_N,Maret_Pending,Maret_suspek,April_CL,April_RL,April_N,April_Pending,April_suspek,Mei_CL,Mei_RL,Mei_N,Mei_Pending,Mei_suspek,Juni_CL,Juni_RL,Juni_N,Juni_Pending,Juni_suspek,Juli_CL,Juli_RL,Juli_N,Juli_Pending,Juli_suspek,Agustus_CL,Agustus_RL,Agustus_N,Agustus_Pending,Agustus_suspek,September_CL,September_RL,September_N,September_Pending,September_suspek
6171011006,Akcaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,1,2,0,0,0,1,1
6171061004,Bangka Belitung Darat,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
6171061003,Bangka Belitung Laut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6171021002,Banjar Serasan,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,3,0,0,1,4,0,0,0,3,3
6171061002,Bansir Darat,0,0,0,0,0,0,0,0,1,1,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
6171061001,Bansir Laut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6171041004,Batu Layang,1,0,0,0,1,0,0,1,2,3,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,2,6,0,1,1,8,3,0,1,2,6,0,0,0,6,6
6171011003,Benua Melayu Darat,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
6171011002,Benua Melayu Laut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1
6171021006,Dalam Bugis,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2,5,0,0,0,5,3,0,0,2,5,0,0,0,3,3
6171051002,Darat Sekip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
6171011005,Kota Baru,1,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,0,0,1,3,0,0,0,1,1
6171051004,Mariana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,2,0,0,0,2,0,0,0,0,0
6171031001,Pal Lima,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,4,0,2,0,6,1,0,1,0,2,0,0,0,4,4
,Pal Sembilan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6171021001,Parit Mayor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,1,1
6171011004,Parit Tokaya,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
6171021003,Saigon,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,1,0,6,4,0,0,0,4,7,0,1,4,12,0,0,0,3,3
6171041003,Siantan Hilir,0,0,0,2,2,0,0,3,0,3,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,2,0,0,7,9,0,0,0,10,10
6171041001,Siantan Hulu,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,5,0,0,0,5,6,0,2,1,9,1,0,0,0,1,0,0,0,7,7
6171041002,Siantan Tengah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,1,0,3,0,0,0,1,1
6171051001,Sungai Bangkong,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,2,0,2,0,4,3,0,0,0,3,7,0,0,3,10,0,0,0,5,5
6171031004,Sungai Beliung,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,2,0,0,0,1,1,0,0,0,3,3
6171051005,Sungai Jawi,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,1,0,0,0,1,5,0,1,0,6,2,0,0,0,2,0,0,0,4,4
6171031002,Sungai Jawi Dalam,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,4,0,2,1,7,0,0,0,1,1,0,0,0,1,1
6171031003,Sungai Jawi Luar,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,0,0,0,3,3
6171021007,Tambelan Sampit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,3,0,4,2,0,1,0,3,0,0,0,0,0
6171021005,Tanjung Hilir,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,3
6171021004,Tanjung Hulu,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,4,2,0,0,1,3,0,0,0,5,5
6171051003,Tengah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
